order	sentence	pinyin	english
1	你好！	Nǐ hǎo!	Hello!
2	你说什么？	Nǐ shuō shénme?	What are you saying?
3	你做了什么？	nǐ zuò le shénme ?	What did you do?
4	我会做。	Wǒ huì zuò.	I know how to do it.
5	你想我了？	nǐ xiǎng wǒ le ?	Did you miss me?
6	他们会做。	Tāmen huì zuò.	They know how to do it.
7	他们在说什么？	Tāmen zài shuō shénme?	What are they talking about?
8	你会做吗？	Nǐ huì zuò ma?	Do you know how to do it?
9	你做什么工作？	Nǐ zuò shénme gōngzuò?	What do you do for work?
10	她做什么工作？	Tā zuò shénme gōngzuò?	What does she do for work?
11	怎么了？	zěnme le?	What's the matter?
12	你在听我说吗？	nǐ zài tīng wǒ shuō ma ?	Are you listening to me at all?
13	听他说。	Tīng tā shuō.	Listen to him.
14	他不会做。	Tā bù huì zuò.	He can't do it.
15	你在哪里工作？	Nǐ zài nǎli gōngzuò?	Where do you work?
16	你去哪里？	Nǐ qù nǎli?	Where are you going?
17	你想去哪里？	Nǐ xiǎng qù nǎli?	Where would you like to go?
18	你是哪里人？	Nǐ shì nǎli rén?	Where are you from?
19	她是哪里的人？	Tā shì nǎli de rén?	Where is she from?
20	你想去哪里吃？	Nǐ xiǎng qù nǎli chī?	Where would you like to go to eat?
21	你想要什么？	nǐ xiǎng yào shénme ?	What do you want?
22	我想看看。	wǒ xiǎng kànkan.	I want to take a look.
23	你做对了。	Nǐ zuòduì le.	You've done the right thing.
24	给我看。	Gěi wǒ kàn.	Give me a look.
25	我爱你。	Wǒ ài nǐ.	I love you.
26	你喜欢你的工作吗？	Nǐ xǐhuan nǐde gōngzuò ma?	Do you like your work?
27	他不喜欢他的工作。	Tā bù xǐhuan tā de gōngzuò.	He does not like his work.
28	学生不听我说。	Xuésheng bù tīng wǒ shuō.	The students don't listen to me.
29	我喜欢中国。	Wǒ xǐhuan Zhōngguó.	I like China.
30	中国大吗？	Zhōngguó dà ma?	Is China big?
31	中国很大。	Zhōngguó hěn dà.	China is very big.
32	他是谁？	Tā shì shéi?	Who is he?
33	谁是你的学生？	Shéi shì nǐ de xuésheng?	Who is your student?
34	我怎么去北京？	Wǒ zěnme qù Běijīng?	How do I get to Beijing?
35	她要去北京。	Tā yào qù Běijīng.	She will to go to Beijing.
36	你想去北京吗？	Nǐ xiǎng qù Běijīng ma?	Would you like to go to Beijing?
37	我要去北京。	Wǒ yào qù Běijīng.	I'm going to Beijing.
38	她想来中国。	Tā xiǎng lái Zhōngguó.	She would like to come to China.
39	她想来北京。	Tā xiǎng lái Běijīng.	She would like to come to Beijing.
40	你今天想做什么？	Nǐ jīntiān xiǎng zuò shénme?	What do you want to do today?
41	他今天想做什么？	Tā jīntiān xiǎng zuò shénme?	What would he like to do today?
42	我在想你今天会不会来。	wǒ zài xiǎng nǐ jīntiān huì bu huì lái.	I am wondering if you will come today.
43	你什么时候来中国？	Nǐ shénme shíhòu lái Zhōngguó?	When will you come to China?
44	学生没来。	Xuésheng méi lái.	The student did not come.
45	我想知道谁来了。	wǒ xiǎng zhīdào shéi lái le .	I wonder who has come.
46	你从哪里来？	Nǐ cóng nǎli lái?	Where are you from?
47	他从哪里来？	Tā cóng nǎli lái?	Where is he from?
48	什么时候开始？	shénme shíhou kāishǐ ?	What time does it start?
49	他开始找工作了。	tā kāishǐ zhǎo gōngzuò le .	He began to look for a job.
50	他是我的朋友。	Tā shì wǒde péngyou.	He is my friend.
51	我很喜欢你的朋友。	Wǒ hěn xǐhuan nǐ de péngyou.	I like your friend very much.
52	你喜欢我朋友吗？	Nǐ xǐhuan wǒ péngyou ma?	Do you like my friend?
53	我的朋友没来。	Wǒde péngyou méi lái.	My friend did not come.
54	你朋友想做什么？	Nǐ péngyǒu xiǎng zuò shénme?	What would your friend like to do?
55	我们是朋友。	Wǒmen shì péngyou.	We're friends.
56	他们都是我的朋友。	Tāmen dōu shì wǒ de péngyou.	They are all my friends.
57	这是我家。	Zhè shì wǒ jiā.	This is my home.
58	为什么？	Wèishénme?	Why?
