Frequency,Character,Count,Percentile,Pin1Yin1,Meaning,Heisig,Polv’s order,Polv’s level,Dubbing,Variant,Kanji,Vocab
2,一,3050722,5.670893097,yi1,one/1/single/a(n),1,1,1,Pleasant,弌壹,WK_L1,"一 yī one 1 single a (article) as soon as entire whole all throughout ""one"" radical in Chinese characters (Kangxi radical 1)<br>一点儿 一點兒 yī diǎn r a bit a little one dot one point<br>一下 yī xià (used after a verb) give it a go to do (sth for a bit to give it a try) one time once in a while all of a sudden all at once<br>一向 yī xiàng always (previously) a period of time in the recent past<br>一起 yī qǐ in the same place together with altogether (in total)<br>一定 yī dìng surely certainly necessarily fixed a certain (extent etc) given particular must<br>一目了然 yī mù liǎo rán obvious at a glance (idiom)<br>一样 一樣 yī yàng same like equal to the same as just like<br>一会儿 一會兒 yī huì r a moment a while in a moment now...now...<br>一度 yī dù for a time at one time one time once<br>第一 dì yī first number one primary<br>一再 yī zài repeatedly<br>一直 yī zhí straight (in a straight line) continuously always from the beginning of ... up to ... all along<br>一切 yī qiè everything every all<br>万一 萬一 wàn yī just in case if by any chance contingency<br>一边 一邊 yī biān one side either side on the one hand on the other hand doing while<br>一流 yī liú top quality front ranking<br>统一 統一 tǒng yī to unify to unite to integrate<br>一共 yī gòng altogether<br>一律 yī lǜ same uniformly all without exception<br>一如既往 yī rú jì wǎng just as in the past (idiom); as before continuing as always<br>一般 yī bān same ordinary so-so common general generally in general<br>一致 yī zhì unanimous identical (views or opinions)<br>一举两得 一舉兩得 yī jǔ liǎng dé one move, two gains (idiom); two birds with one stone<br>唯一 wéi yī only sole<br>一旦 yī dàn in case (sth happens) if once (sth happens, then...) when in a short time in one day<br>一贯 一貫 yī guàn consistent constant from start to finish all along persistent<br>一辈子 一輩子 yī bèi zi (for) a lifetime<br>一丝不苟 一絲不苟 yī sī bù gǒu not one thread loose (idiom); strictly according to the rules meticulous not one hair out of place<br>一帆风顺 一帆風順 yī fān fēng shùn propitious wind throughout the journey (idiom) plain sailing to go smoothly have a nice trip!<br>不屑一顾 不屑一顧 bù xiè yī gù to disdain as beneath contempt (idiom)<br>"
157,二,267506,50.74862993,er4,two/2,2,2,1,Pleasant,弍貳贰,WK_L1,二 èr two 2 (Beijing dialect) stupid<br>二氧化碳 èr yǎng huà tàn carbon dioxide CO2<br>
125,三,304272,46.06918808,san1,three/3,3,3,1,Pleasant,叁,WK_L1,三 sān three 3<br>再三 zài sān over and over again again and again<br>丢三落四 丟三落四 diū sān là sì forgetful empty-headed<br>
226,四,184874,58.35461153,si4,four/4,4,4,1,Pleasant,肆,WK_L2,四 sì four 4<br>丢三落四 丟三落四 diū sān là sì forgetful empty-headed<br>四肢 sì zhī the four limbs of the body<br>
112,十,338954,43.95077987,shi2,ten/10,10,5,1,Pleasant,拾,WK_L1,十 shí ten 10<br>十分 shí fēn to divide into ten equal parts very hundred percent completely extremely utterly absolutely<br>十足 shí zú ample complete hundred percent a pure shade (of some color)<br>
212,口,191936,56.98988948,kou3,mouth/(a measure word),11,6,1,Pleasant,,WK_L1,"口 kǒu mouth classifier for things with mouths (people, domestic animals, cannons, wells etc) classifier for bites or mouthfuls<br>可口 kě kǒu tasty to taste good<br>入口 rù kǒu entrance to import<br>出口 chū kǒu an exit to speak to export (of a ship) to leave port<br>口头 口頭 kǒu tóu oral verbal<br>人口 rén kǒu population people<br>口气 口氣 kǒu qì tone of voice the way one speaks manner of expression tone<br>进口 進口 jìn kǒu to import imported entrance inlet (for the intake of air, water etc)<br>口音 kǒu yin voice accent<br>口味 kǒu wèi a person's preferences tastes (in food) flavor<br>借口 jiè kǒu to use as an excuse on the pretext excuse pretext<br>港口 gǎng kǒu port harbor<br>缺口 quē kǒu nick jag gap shortfall<br>胃口 wèi kǒu appetite liking<br>口腔 kǒu qiāng oral cavity<br>"
101,日,363763,41.95831841,ri4,Japan/day/sun/date/day of the month,12,7,1,Pleasant,,WK_L2,"日 rì sun day date, day of the month<br>日子 rì zi day a (calendar) date days of one's life<br>日常 rì cháng daily everyday<br>生日 shēng rì birthday<br>日用品 rì yòng pǐn articles for daily use<br>日记 日記 rì jì diary<br>日程 rì chéng schedule itinerary<br>日历 日曆 rì lì calendar<br>日期 rì qī date<br>日新月异 日新月異 rì xīn yuè yì daily renewal, monthly change (idiom) every day sees new developments rapid progress<br>节日 節日 jié rì holiday festival<br>日益 rì yì day by day more and more increasingly more and more with each passing day<br>与日俱增 與日俱增 yǔ rì jù zēng to increase steadily to grow with each passing day<br>昔日 xī rì formerly in olden days<br>"
169,月,240566,52.30575729,yue4,moon/month,13,8,1,Pleasant,,WK_L2,"月 yuè moon month monthly<br>正月 zhēng yuè first month of the lunar year<br>日新月异 日新月異 rì xīn yuè yì daily renewal, monthly change (idiom) every day sees new developments rapid progress<br>月亮 yuè liang the moon<br>岁月 歲月 suì yuè years time<br>"
239,目,180827,59.58232919,mu4,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,15,9,1,Pleasant,,WK_L2,目的 mù dì purpose aim goal target objective<br>目前 mù qián at the present time currently<br>一目了然 yī mù liǎo rán obvious at a glance (idiom)<br>题目 題目 tí mù subject title topic<br>目光 mù guāng sight vision view gaze look<br>目标 目標 mù biāo target goal objective<br>科目 kē mù subject<br>项目 項目 xiàng mù item project (sports) event<br>节目 節目 jié mù program item (on a program)<br>目录 目錄 mù lù catalog table of contents directory (on computer hard drive) list contents<br>盲目 máng mù blind blindly ignorant lacking understanding<br>栏目 欄目 lán mù regular column or segment (in a publication or broadcast program) program (TV or radio)<br>目睹 mù dǔ to witness to see at first hand to see with one's own eyes<br>举世瞩目 舉世矚目 jǔ shì zhǔ mù to receive worldwide attention<br>
121,明,309873,45.43573974,ming2,clear/bright/to understand/next/the Ming dynasty,21,10,1,Pleasant,朙,WK_L6,明明 míng míng obviously plainly undoubtedly definitely<br>明天 míng tiān tomorrow<br>说明 說明 shuō míng to explain to illustrate to indicate to show to prove explanation directions caption<br>高明 gāo míng brilliant superior tall and bright<br>分明 fēn míng clear distinct evidently clearly<br>开明 開明 kāi míng enlightened open-minded enlightenment<br>发明 發明 fā míng to invent an invention<br>文明 wén míng civilized civilization culture<br>表明 biǎo míng to make clear to make known to state clearly to indicate known<br>声明 聲明 shēng míng to state to declare statement declaration<br>明白 míng bai clear obvious unequivocal to understand to realize<br>光明 guāng míng light illumination radiance (esp. glory of Buddha etc) fig. bright prospects openhearted<br>证明 證明 zhèng míng proof certificate identification testimonial to prove to testify to confirm the truth of<br>明确 明確 míng què clear-cut definite explicit to clarify to specify to make definite<br>明显 明顯 míng xiǎn clear distinct obvious<br>英明 yīng míng wise brilliant<br>明星 míng xīng star celebrity<br>鲜明 鮮明 xiān míng bright clear-cut distinct<br>明智 míng zhì sensible wise judicious sagacious<br>透明 tòu míng transparent open (non-secretive)<br>黎明 lí míng dawn daybreak<br>聪明 聰明 cōng ming intelligent clever bright smart acute (of sight and hearing)<br>
