English	Pin Yin	Chinese	Audio	SpoodFed order
Hello!	Nǐ hǎo!	你好！	[sound:tmp1cctcn.mp3]	1
What are you saying?	Nǐ shuō shénme?	你说什么？	[sound:tmp4tzxbu.mp3]	2
What did you do?	nǐ zuò le shénme ?	你做了什么？	[sound:333012.mp3]	3
I know how to do it.	Wǒ huì zuò.	我会做。	[sound:G009-03.mp3]	4
Did you miss me?	nǐ xiǎng wǒ le ?	你想我了？	[sound:334429.mp3]	5
They know how to do it.	Tāmen huì zuò.	他们会做。	[sound:G009-05.mp3]	6
What are they talking about?	Tāmen zài shuō shénme?	他们在说什么？	[sound:tmpxth4o3.mp3]	7
Do you know how to do it?	Nǐ huì zuò ma?	你会做吗？	[sound:R009-07.mp3]	8
What do you do for work?	Nǐ zuò shénme gōngzuò?	你做什么工作？	[sound:R020-01.mp3]	9
What does she do for work?	Tā zuò shénme gōngzuò?	她做什么工作？	[sound:R020-02.mp3]	10
What's the matter?	zěnme le?	怎么了？	[sound:334413.mp3]	11
Are you listening to me at all?	nǐ zài tīng wǒ shuō ma ?	你在听我说吗？	[sound:332820.mp3]	12
Listen to him.	Tīng tā shuō.	听他说。	[sound:R038-06.mp3]	13
He can't do it.	Tā bù huì zuò.	他不会做。	[sound:G009-04.mp3]	14
Where do you work?	Nǐ zài nǎli gōngzuò?	你在哪里工作？	[sound:R020-06.mp3]	15
Where are you going?	Nǐ qù nǎli?	你去哪里？	[sound:G006-01.mp3]	16
Where would you like to go?	Nǐ xiǎng qù nǎli?	你想去哪里？	[sound:R015-01.mp3]	17
Where are you from?	Nǐ shì nǎli rén?	你是哪里人？	[sound:G006-02.mp3]	18
Where is she from?	Tā shì nǎli de rén?	她是哪里的人？	[sound:R006-04.mp3]	19
Where would you like to go to eat?	Nǐ xiǎng qù nǎli chī?	你想去哪里吃？	[sound:R015-06.mp3]	20
What do you want?	nǐ xiǎng yào shénme ?	你想要什么？	[sound:333098.mp3]	21
I want to take a look.	wǒ xiǎng kànkan.	我想看看。	[sound:332819.mp3]	22
You've done the right thing.	Nǐ zuòduì le.	你做对了。	[sound:tmp2spnti.mp3]	23
Give me a look.	Gěi wǒ kàn.	给我看。	[sound:G027-02.mp3]	24
I love you.	Wǒ ài nǐ.	我爱你。	[sound:tmptnzyb7.mp3]	25
Do you like your work?	Nǐ xǐhuan nǐde gōngzuò ma?	你喜欢你的工作吗？	[sound:G020-03.mp3]	26
He does not like his work.	Tā bù xǐhuan tā de gōngzuò.	他不喜欢他的工作。	[sound:R020-04.mp3]	27
The students don't listen to me.	Xuésheng bù tīng wǒ shuō.	学生不听我说。	[sound:G038-03.mp3]	28
I like China.	Wǒ xǐhuan Zhōngguó.	我喜欢中国。	[sound:R002-01.mp3]	29
Is China big?	Zhōngguó dà ma?	中国大吗？	[sound:R007-01.mp3]	30
China is very big.	Zhōngguó hěn dà.	中国很大。	[sound:R007-03.mp3]	31
Who is he?	Tā shì shéi?	他是谁？	[sound:R034-01.mp3]	32
Who is your student?	Shéi shì nǐ de xuésheng?	谁是你的学生？	[sound:G034-01.mp3]	33
How do I get to Beijing?	Wǒ zěnme qù Běijīng?	我怎么去北京？	[sound:tmpcthldk.mp3]	34
She will to go to Beijing.	Tā yào qù Běijīng.	她要去北京。	[sound:R017-01.mp3]	35
Would you like to go to Beijing?	Nǐ xiǎng qù Běijīng ma?	你想去北京吗？	[sound:G015-05.mp3]	36
I'm going to Beijing.	Wǒ yào qù Běijīng.	我要去北京。	[sound:R004-01.mp3]	37
She would like to come to China.	Tā xiǎng lái Zhōngguó.	她想来中国。	[sound:G030-05.mp3]	38
She would like to come to Beijing.	Tā xiǎng lái Běijīng.	她想来北京。	[sound:G030-06.mp3]	39
What do you want to do today?	Nǐ jīntiān xiǎng zuò shénme?	你今天想做什么？	[sound:R022-01.mp3]	40
What would he like to do today?	Tā jīntiān xiǎng zuò shénme?	他今天想做什么？	[sound:G022-01.mp3]	41
I am wondering if you will come today.	wǒ zài xiǎng nǐ jīntiān huì bu huì lái.	我在想你今天会不会来。	[sound:334925.mp3]	42
When will you come to China?	Nǐ shénme shíhòu lái Zhōngguó?	你什么时候来中国？	[sound:R031-01.mp3]	43
The student did not come.	Xuésheng méi lái.	学生没来。	[sound:G030-03.mp3]	44
I wonder who has come.	wǒ xiǎng zhīdào shéi lái le .	我想知道谁来了。	[sound:334195.mp3]	45
Where are you from?	Nǐ cóng nǎli lái?	你从哪里来？	[sound:R030-01.mp3]	46
Where is he from?	Tā cóng nǎli lái?	他从哪里来？	[sound:R030-02.mp3]	47
What time does it start?	shénme shíhou kāishǐ ?	什么时候开始？	[sound:332585.mp3]	48
He began to look for a job.	tā kāishǐ zhǎo gōngzuò le .	他开始找工作了。	[sound:334042.mp3]	49
He is my friend.	Tā shì wǒde péngyou.	他是我的朋友。	[sound:tmpylizw1.mp3]	50
I like your friend very much.	Wǒ hěn xǐhuan nǐ de péngyou.	我很喜欢你的朋友。	[sound:R002-06.mp3]	51
