Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
的		<span class="tone5">de</span>	<ol><li>of</li> <li>~'s (possessive particle)</li> <li>(used after an attribute)</li> <li>(used to form a nominal expression)</li> <li>(used at the end of a declarative sentence for emphasis)</li></ol>			<span class="nobr">得</span> <span class="nobr">地</span>	HSK_Level_1	1	[1]
一		<span class="tone1">yī</span>	<ol><li>one</li> <li>1</li> <li>single</li> <li>a (article)</li> <li>as soon as</li> <li>entire</li> <li>whole</li> <li>all</li> <li>throughout</li> <li>"one" radical in Chinese characters (Kangxi radical 1)</li></ol>				HSK_Level_1	1	[1]
了		<span class="tone5">le</span>	<ol><li>(modal particle intensifying preceding clause)</li> <li>(completed action marker)</li></ol>				HSK_Level_1	1	[1]
有		<span class="tone3">yǒu</span>	<ol><li>to have</li> <li>there is</li> <li>there are</li> <li>to exist</li> <li>to be</li></ol>				HSK_Level_1	1	[1]
上		<span class="tone4">shàng</span>	<ol><li>on top</li> <li>upon</li> <li>above</li> <li>upper</li> <li>previous</li> <li>first (of multiple parts)</li> <li>to climb</li> <li>to get onto</li> <li>to go up</li> <li>to attend (class or university)</li></ol>				HSK_Level_1	1	[1]
大		<span class="tone4">dà</span>	<ol><li>big</li> <li>huge</li> <li>large</li> <li>major</li> <li>great</li> <li>wide</li> <li>deep</li> <li>older (than)</li> <li>oldest</li> <li>eldest</li> <li>greatly</li> <li>very much</li> <li>(dialect) father</li> <li>father's elder or younger brother</li></ol>				HSK_Level_1	1	[1]
下		<span class="tone4">xià</span>	<ol><li>down</li> <li>downwards</li> <li>below</li> <li>lower</li> <li>later</li> <li>next (week etc)</li> <li>second (of two parts)</li> <li>to decline</li> <li>to go down</li> <li>to arrive at (a decision, conclusion etc)</li> <li>measure word to show the frequency of an action</li></ol>			<span class="nobr">夏</span> <span class="nobr">吓|嚇</span>	HSK_Level_1	1	[1]
里	裡	<span class="tone3">lǐ</span>	<ol><li>lining</li> <li>interior</li> <li>inside</li> <li>internal</li></ol>				HSK_Level_1	1	[1]
多		<span class="tone1">duō</span>	<ol><li>many</li> <li>much</li> <li>often</li> <li>a lot of</li> <li>numerous</li> <li>more</li> <li>in excess</li> <li>how (to what extent)</li> <li>multi-</li> <li>Taiwan pr. [duo2] when it means "how"</li></ol>				HSK_Level_1	1	[1]
好		<span class="tone3">hǎo</span>	<ol><li>good</li> <li>well</li> <li>proper</li> <li>good to</li> <li>easy to</li> <li>very</li> <li>so</li> <li>(suffix indicating completion or readiness)</li> <li>(of an unmarried couple) to be close</li> <li>to be keen on each other</li></ol>				HSK_Level_1	1	[1]
小		<span class="tone3">xiǎo</span>	<ol><li>small</li> <li>tiny</li> <li>few</li> <li>young</li></ol>				HSK_Level_1	1	[1]
本		<span class="tone3">běn</span>	<ol><li>roots or stems of plants</li> <li>origin</li> <li>source</li> <li>this</li> <li>the current</li> <li>root</li> <li>foundation</li> <li>basis</li> <li>classifier for books, periodicals, files etc</li> <li>originally</li></ol>				HSK_Level_1	1	[1]
十		<span class="tone2">shí</span>	<ol><li>ten</li> <li>10</li></ol>			<span class="nobr">拾</span>	HSK_Level_1	1	[1]
三		<span class="tone1">sān</span>	<ol><li>three</li> <li>3</li></ol>				HSK_Level_1	1	[1]
点	點	<span class="tone3">diǎn</span>	<ol><li>point</li> <li>dot</li> <li>drop</li> <li>speck</li> <li>o'clock</li> <li>point (in space or time)</li> <li>to draw a dot</li> <li>to check on a list</li> <li>to choose</li> <li>to order (food in a restaurant)</li> <li>to touch briefly</li> <li>to hint</li> <li>to light</li> <li>to ignite</li> <li>to pour a liquid drop by drop</li> <li>(old) one fifth of a two-hour watch 更[geng1]</li> <li>dot stroke in Chinese characters</li> <li>classifier for items</li></ol>				HSK_Level_1	1	[1]
二		<span class="tone4">èr</span>	<ol><li>two</li> <li>2</li> <li>(Beijing dialect) stupid</li></ol>				HSK_Level_1	1	[1]
月		<span class="tone4">yuè</span>	<ol><li>moon</li> <li>month</li> <li>monthly</li></ol>	个|個(<span class="tone4">gè</span>), 轮|輪(<span class="tone2">lún</span>)		<span class="nobr">越</span>	HSK_Level_1	1	[1]
儿子	兒子	<span class="tone2">ér</span> <span class="tone5">zi</span>	<ol><li>son</li></ol>				HSK_Level_1	1	[1, 1]
一点儿	一點兒	<span class="tone1">yī</span> <span class="tone3">diǎn</span> <span class="tone5">r</span>	<ol><li>a bit</li> <li>a little</li> <li>one dot</li> <li>one point</li></ol>				HSK_Level_1	1	[1, 1, 1]
水		<span class="tone3">shuǐ</span>	<ol><li>water</li> <li>river</li> <li>liquid</li> <li>beverage</li> <li>additional charges or income</li> <li>(of clothes) classifier for number of washes</li></ol>				HSK_Level_1	1	[1]
几	幾	<span class="tone3">jǐ</span>	<ol><li>how much</li> <li>how many</li> <li>several</li> <li>a few</li></ol>				HSK_Level_1	1	[1]
女儿	女兒	<span class="tone3">nǚ</span> <span class="tone2">ér</span>	<ol><li>daughter</li></ol>				HSK_Level_1	1	[1, 1]
四		<span class="tone4">sì</span>	<ol><li>four</li> <li>4</li></ol>				HSK_Level_1	1	[1]
多少		<span class="tone1">duō</span> <span class="tone5">shao</span>	<ol><li>how much</li> <li>how many</li> <li>which (number)</li> <li>as much as</li></ol>				HSK_Level_1	1	[1, 1]
少		<span class="tone3">shǎo</span>	<ol><li>few</li> <li>less</li> <li>to lack</li> <li>to be missing</li> <li>to stop (doing sth)</li> <li>seldom</li></ol>				HSK_Level_1	1	[1]
太		<span class="tone4">tài</span>	<ol><li>highest</li> <li>greatest</li> <li>too (much)</li> <li>very</li> <li>extremely</li></ol>				HSK_Level_1	1	[1]
同学	同學	<span class="tone2">tóng</span> <span class="tone2">xué</span>	<ol><li>to study at the same school</li> <li>fellow student</li> <li>classmate</li></ol>	位(<span class="tone4">wèi</span>), 个|個(<span class="tone4">gè</span>)			HSK_Level_1	2	[1, 2]
明天		<span class="tone2">míng</span> <span class="tone1">tiān</span>	<ol><li>tomorrow</li></ol>				HSK_Level_1	2	[1, 2]
是		<span class="tone4">shì</span>	<ol><li>is</li> <li>are</li> <li>am</li> <li>yes</li> <li>to be</li></ol>			<span class="nobr">试|試</span>	HSK_Level_1	2	[2]
个	個	<span class="tone4">gè</span>	<ol><li>individual</li> <li>this</li> <li>that</li> <li>size</li> <li>classifier for people or objects in general</li></ol>			<span class="nobr">各</span>	HSK_Level_1	2	[2]
说	說	<span class="tone1">shuō</span>	<ol><li>to speak</li> <li>to say</li> <li>to explain</li> <li>to scold</li> <li>to tell off</li> <li>a theory (usually in compounds such as 日心说 heliocentric theory)</li></ol>				HSK_Level_1	2	[2]
